企业名称,组织机构代码,资质证书,发证单位
深圳市方鼎实业投资发展有限公司,754263472,深房开字(2014)278号,深圳市规划和国土资源委员会
深圳市宏发投资集团有限公司,19248120-7,深房开字(2014)279号,深圳市规划和国土资源委员会
深圳市阳光丽安投资有限公司,66585355-0,深房开字(2014)280号,深圳市规划和国土资源委员会
深圳市铭景实业有限公司,279262701,深房开字(2014)281号,深圳市规划和国土资源委员会
深圳耀华创建房地产发展有限公司,791703596,深房开字(2014)282号,深圳市规划和国土资源委员会
深圳市德业基投资集团有限公司,279534930,深房开字(2014)283号,深圳市规划和国土资源委员会
深圳市盐田港集团有限公司,19219255-2,深房开字(2014)284号,深圳市规划和国土资源委员会
深圳市兆和置地投资有限公司,59185534-1,深房开字(2014)285号,深圳市规划和国土资源委员会
深圳市安鸿业房地产开发有限公司,66265171-8,深房开字(2014)286号,深圳市规划和国土资源委员会
深圳市市政工程总公司,19219039-7,深房开字(2014)287号,深圳市规划和国土资源委员会
深圳市志联佳实业有限公司,192349636,深房开字(2014)288号,深圳市规划和国土资源委员会
深圳卓越房地产开发有限公司,746610307,深房开字(2014)289号,深圳市规划和国土资源委员会
深国投商用置业（集团）有限公司,74887039-9,深房开字(2014)290号,深圳市规划和国土资源委员会
中航地产股份有限公司,19218124-7,深房开字(2014)291号,深圳市规划和国土资源委员会
深圳中信红树湾房地产有限公司,752539885,深房开字(2014)292号,深圳市规划和国土资源委员会
